clicks;meneos;contentSummary;title;titleRef;votesUp;votesDown;votesAnonymous;newsPaper;karma;category;comments
120;71;El supuesto doctorado italiano de la presidenta del PSOE no es más que una licenciatura, por lo que incumplió la ley al formar parte de un tribunal de evaluación de tesis en 2016;  La Carlos III reconoce que Cristina Narbona no puede ser considerada doctora en España  ;https://www.elconfidencial.com/espana/2019-03-20/cristina-narbona-doctorado-universidad-espana_1892286/;50;2;21;elconfidencial.com;268; actualidad ;5
396;63;"El sospechoso afirmó que quería suicidarse y ""detener las muertes en el Mediterráneo"". La Policía logró bloquear el vehículo después de que uno de los jóvenes llamara a sus padres. La Policía italiana ha detenido a un hombre de 47 años acusado de secuestrar un autobús escolar y posteriormente iniciar un incendio en el interior del vehículo, informan medios locales.";  Italia: secuestra un autobús con 51 estudiantes y le prende fuego    ;https://actualidad.rt.com/actualidad/309198-italia-secuestra-autobus-alumnos-prender-fuego;34;6;29;actualidad.rt.com;293; actualidad ;31
902;88;Una mujer de 22 años ha sido atropellada por un autobús de la EMT de Madrid. Según las primeras informaciones, la víctima se disponía a cruzar un paso de peatones señalizado con semáforos mientras estaba mirando el móvil cuando fue arrollada. La joven quedó atrapada bajo el autobús. Para rescatarla, los bomberos han tenido que levantar el vehículo. Se encuentra en estado grave tras haber sufrido politraumatismos. Por su parte, el conductor del autobús ha tenido que ser atendido por psicólogos al sufrir una crisis de ansiedad.;  Una joven, en estado grave tras ser atropellada en Madrid por un autobús mientras cruzaba mirando el móvil    ;https://www.lasexta.com/noticias/sociedad/una-joven-en-estado-grave-tras-ser-atropellada-por-un-autobus-mientras-cruzaba-mirando-el-movil-video_201903205c9234540cf24e4f1c662bb1.html;44;3;44;lasexta.com;348; actualidad ;81
689;38;Por estos días, 'Jack el Destripador' ha vuelto a aparecer en la prensa, porque según un paper publicado la semana pasada, finalmente conoceríamos la identidad del asesino en serie que aterrorizó las calles de Londres a finales del siglo 19: un peluquero polaco de 23 años llamado Aaron Kośmiński, quien en algún momento fue el principal sospechoso.;  No, no sabemos quién fue 'Jack el Destripador'  ;http://de-avanzada.blogspot.com/2019/03/jack-el-destripador.html;23;1;15;de-avanzada.blogspot.com;272; cultura ;22
713;97;"Muñiz afirma que «hemos contribuido a salvar el río; podemos decir que hemos ganado la batalla». Robles felicita a la unidad por la labor realizada y Vara la agradece en nombre de los extremeños";  La UME deja el río limpio y la CHG vigilará que no rebrote el camalote  ;https://www.lacronicabadajoz.com/noticias/badajoz/ume-deja-rio-limpio-chg-vigilara-no-rebrote-camalote_325090.html;49;2;48;lacronicabadajoz.com;341; actualidad ;27
927;151;Condiciona el aplazamiento a que el parlamento ratifique el acuerdo presentado por May ya dos veces y rechazado en ambas ocasiones.  En caso contrario, UK abandonaría la UE el 29 de Marzo tal y como fija el artículo 50;  Tusk: La UE solo aplazará el Brexit del 29M si la próxima semana el parlamento de UK aprueba el acuerdo de salida  ;https://www.theguardian.com/politics/live/2019/mar/20/brexit-latest-news-letter-article-50-extension-pmqs-theresa-may-bends-to-pressure-from-tory-brexiters-and-rules-out-asking-for-long-article-extension-politics-live;81;1;70;theguardian.com;269; actualidad ;56
1354;75;El 8 de octubre de 1950, la Tercera Guerra Mundial estuvo a punto de estallar: la USAF atacó y bombardeó un aeródromo soviético en el Lejano Oriente ruso. A pesar de la frenética guerra coreana se libraba a sólo unos cientos de kilómetros al sur nadie esperaba un hecho de estas características.;  El día en que aviones de EEUU atacaron la Unión Soviética  ;https://es.rbth.com/historia/82778-aviones-ee-uu-atacaron-union-sovietica;40;0;35;es.rbth.com;265; cultura ;13
988;290;El 80% de los españoles es infeliz en el trabajo. Es la conclusión de una encuesta elaborada por Acierto.com con motivo del Día de la Felicidad. Esta insatisfacción tiene distintas causas, entre las que están la falta de reconocimiento, la sensación de estar ganando un salario precario y la imposibilidad de conciliar la vida familiar y la laboral.;  El 80% de los españoles es infeliz en el trabajo  ;https://theobjective.com/el-80-de-los-espanoles-es-infeliz-en-el-trabajo-segun-una-encuesta/;121;2;169;theobjective.com;271; actualidad ;97
2099;90;Las mujeres bellas y los cánones de belleza asociadas a ellas ocupan un lugar destacado en la historia de China, como bien demuestran las legendarias “4 hermosas” (四大美女) de la Antigüedad. Sin embargo, la ausencia de representaciones fiables hace que tengamos que esperar casi hasta la llegada del Siglo XX para hacernos una idea más clara de las mujeres a las que se consideraba guapas, entre las que destacaron muchas actrices y modelos. Repaso visual a la evolución de los cánones de belleza del gigante asiático.;  Mujeres bellas en la historia de China: 2500 años de cánones    ;https://www.youtube.com/watch?v=6j061YHOUeE;54;11;36;youtube.com;503; ocio ;20
3714;335;Cada vez son más las empresas que optan por esta fórmula para aumentar la productividad y mejorar el bienestar de sus trabajadores. Estos explican cómo ha repercutido en sus vidas.;  Así es tener una jornada semanal de 4 días: “Es lo mejor que me ha pasado en la vida”  ;https://www.elconfidencial.com/alma-corazon-vida/2019-03-20/jornada-semanal-cuatro-dias-mejor-pasado-vida_1882242/;123;2;212;elconfidencial.com;343; actualidad ;52
521;513;"Teresa Mallada también incorporó a las cuentas de Hunosa como 'Anticipos de viaje de la Presidencia' compras en supermecados, infusiones o posters de cine. Una auditoría de 2015 consideró que esos gastos ofrecen ""dudas sobre su razonabilidad justificativa"" para las ""necesidades de la empresa"". ""No hay ningún gasto personal"", dicen desde el entorno de Mallada, que explican las alegaciones presentadas al informe del auditor, que fueron rechazadas. Todo está acreditado y justificado. Si hubiera habido alguna irregularidad se habría trasladado.";  La candidata de Casado Asturias incluyó joyas, marisco o quitaesmalte como gastos en empresa pública que presidia  ;https://www.eldiario.es/politica/candidata-Casado-Asturias-quitaesmalte-presidia_0_879812187.html;181;3;332;eldiario.es;246; actualidad ;31
5546;242;No hace falta realizar grandes estudios de mercado para darse cuenta que los coches eléctricos reciben un peor trato en las concesiones que los convencionales.;  Por qué la negativa de los concesionarios a vender coches eléctricos  ;https://forococheselectricos.com/2019/03/opinion-por-que-la-negativa-de-los-concesionarios-a-vender-coches-electricos-es-una-mala-idea.html;89;2;153;forococheselectricos.com;334; actualidad ;222
1370;165;KDE Connect, la aplicación que permite que los dispositivos móviles interactuen con el escritorio de Linux, fue eliminada de la tienda de aplicaciones de Android. Google elimina aplicaciones que acceden sin motivo al envío de mensajes. Sin embargo, aplicaciones como KDE Connect están en teoría exceptuadas de la norma.;  Google elimina KDE Connect de Google Play  ;https://planetadiego.com/2019/03/19/google-elimina-kde-connect-de-google-play/;79;0;86;planetadiego.com;251; tecnología ;40
1737;262;La dehesa ibérica ha sido, durante milenios, un modelo de convivencia entre producción agropecuaria y conservación de la Naturaleza, entre los intereses humanos y la vida salvaje. Este paisaje cultural propio de la Península Ibérica ha generado riqueza económica y biodiversidad a partes iguales. Pero desde hace décadas, negros nubarrones se ciernen sobre este tipo de explotación, y el secular equilibrio que mantenía se ha roto. ¿Qué futuro le espera a la dehesa y a su fauna silvestre?;  La dehesa ibérica y la fauna: 4.000 años tocan a su fin  ;http://cronicasdefauna.blogspot.com/2019/03/la-dehesa-iberica-y-la-fauna-4000-anos.html;112;0;150;cronicasdefauna.blogspot.com;260; cultura ;40
3911;306;Hay bulos que vuelven, como el turrón por Navidad, y hay algunos que incluso se reciclan en fechas señaladas.;  Republicar bulos viejos con fecha actual: una de las estrategias para intentar desinformarte  ;https://maldita.es/maldito-bulo/republicar-bulos-viejos-con-fecha-actual-una-de-las-estrategias-para-intentar-desinformarte/;136;7;170;maldita.es;290; actualidad ;110
3689;202;"En un viaje a Kenia, el fotógrafo Will Burrard-Lucas tuvo la suerte de conocer a F_MU1, una vieja elefanta de más de 60 años de edad. “F_MU1 era delgada y vieja pero andaba con mucha gracia. Sus colmillos eran tan largos que raspaban el suelo delante de ella. Era como una reliquia antigua”. El fotógrafo pudo retratar a la ""reina de los elefantes"" unas semanas antes de que falleciera por causas naturales.";"  Los últimos retratos de la ""reina de los elefantes""    ";https://mymodernmet.com/es/kenia-fotos-elefantes-will-burrard-lucas/;110;0;92;mymodernmet.com;271; cultura ;14
1922;114;Década de los sesenta del siglo XXI. Una isla en un punto indeterminado del pacífico. Y en ella, una lujosa mansión tras la cual se oculta una organización secreta llamada International Rescue. Se trata de un grupo científico que aparece en escena cada vez que el mal interviene. Algo así como una especie de comando paramilitar creado para abortar acciones violentas al margen de gobiernos y ejércitos. Son una unidad pacífica que no emplea la violencia salvo en casos de esos en los que no queda más opción que hacerlo.;  Thunderbirds: marionetas contra el imperio del mal  ;https://valenciaplaza.com/thunderbirds;60;0;54;valenciaplaza.com;277; cultura ;29
1953;238;"La desembocadura del río Segura es uno de los lugares de acumulación de residuos, sobre todo plásticos, más críticos de los caudales en España y, lo es también, de los ríos europeos. La Confederación Hidrográfica del Segura (CHS) ha procedido en las últimas semanas a limpiar la barrera de residuos flotantes presente en la desembocadura, en Guardamar y recogió 20 toneladas de basura. Por ello, ahora la CHS ha hecho un llamamiento para frenar ""el uso como vertederos de los azarbes que llegan al río Segura"".";  La basura que no acaba desde los azarbes hasta el río Segura: cientos de kilos de desperdicios cada día  ;https://alicanteplaza.es/la-basura-que-no-acaba-desde-los-azarbes-hasta-el-rio-segura-cientos-de-kilos-de-desperdicios-cada-dia;95;2;143;alicanteplaza.es;309; actualidad ;9
3620;163;"70 estados continúan criminalizando las relaciones entre personas del mismo sexo. En 44 de estos estados, la ley se aplica a las personas independientemente de su género. Se han logrado avances importantes en los últimos dos años: India, Trinidad y Tobago y Angola fueron los últimos en revocar tales leyes. Sin embargo, el progreso global viene con reveses: en 2017, Chad criminalizó los actos sexuales consentidos entre personas del mismo sexo. El mapa ""Leyes sobre orientación sexual en el mundo"" se acaba de actualizar.";  Mapa de la homofobia patrocinada por los estados 2019 (ING)    ;https://ilga.org/ilga-launches-state-sponsored-homophobia-2019;79;4;84;ilga.org;290; actualidad ;50
1775;133;Fue a través de un mensaje de televisión: dijo que había sido una decisión difícil, pero no explicó la causa. Su inesperada salida después de casi 30 años en el poder generó titulares más allá de las fronteras del noveno país más grande del mundo. Y es que Nazarbáyev no es solo uno de los hombres que por más tiempo se han mantenido en el poder, sino que es visto por algunos como un héroe que colocó a su país en el mapa del desarrollo y, por otros, como un déspota y un megalómano.;  Renuncia Nursultan Nazarbayev,  presidente de  Kazajistán que usó su poder para cambiar el alfabeto y la capital  ;https://www.bbc.com/mundo/noticias-internacional-47592497;73;1;60;bbc.com;319; actualidad ;20
5984;769;"Azuqueca tuvo también su ""Manada"", y en este caso la víctima fue una niña de 12 años. Pero el caso se ha ocultado hasta hoy en que lo ha sacado a la luz el correspondal de El Mundo, Roberto Mangas.";  La violación grupal a una niña en Azuqueca fue ocultada durante un año  ;http://www.guadalajaradiario.es/provincia/33527-una-violacion-grupal-a-una-nina-en-azuqueca-fue-ocultado-durante-1-ano.html;306;14;463;guadalajaradiario.es;371; actualidad ;418
2474;132;Hubo un hombre de ciencia, hace algo más de un siglo, eso sí, que perdió una importante cantidad de dinero a raíz de una apuesta en la que él iba contra la idea de que la Tierra es plana. El tipo en cuestión fue Alfred Russel Wallace, un galés nacido en 1823 y cuyos intereses científicos giraban en torno a las ciencias naturales en su visión más amplia. Es conocido por haber elaborado una teoría de la selección natural, como la de Darwin, de manera paralela e independiente a este. Fue un gran hombre, aunque con algo de mala suerte.;  Alfred Wallace, apostó contra que la Tierra es plana, ganó pero acabó perdiendo  ;https://www.curistoria.com/2019/03/alfred-wallace-aposto-contra-tierra-plana.html;66;2;66;curistoria.com;254; cultura ;23
2414;131;Mario Puzo era ludópata, le gustaban los casinos, en los que perdió miles de dólares. Las Vegas era un lugar que adoraba y al que estaba enganchado. El elegido para la dirección de El Padrino fue Francis Ford Coppola que también tenía que alimentar a una familia, muchas deudas con su recién creada compañía independiente y bastante prestigio como guionista.;  50 años de El Padrino: todo por una deuda de juego  ;https://www.cuartopoder.es/cultura/2019/03/19/el-padrino-50-aniversario/;61;1;70;cuartopoder.es;225; cultura ;33
2945;160;Un niño que ve cómo su hermana se ahoga en un río de Massachusetts y llega a la conclusión de que la culpable de todo es la gravedad: ella era incapaz de luchar contra la gravedad, que subió y la agarró como un dragón y se la llevó al fondo, escribió. Que ya adulto estudia en el MIT (Instituto Tecnológico de Massachusetts), crea una fundación para el desarrollo del blindaje gravitacional, y funda universidades, entre otras cosas asombrosas, parece el argumento de alguna película de ciencia-ficción.;  La fundación que investigaba la forma de evitar la gravedad, cuyo premio de ensayo ganaron Stephen Hawking y cinco Nobel  ;https://www.labrujulaverde.com/2019/03/la-fundacion-que-investigaba-la-forma-de-evitar-la-gravedad-cuyo-premio-de-ensayo-ganaron-stephen-hawking-y-cinco-nobel-de-fisica;77;0;83;labrujulaverde.com;302; cultura ;35
1142;412;Debido a la escasez de curas, 14 obispados han abierto en los últimos años seminarios paralelos a los diocesanos y gestionados por grupo Camino Neocatecumenal, los 'kikos'. Entre ellos están prelados opuestos al papa Francisco o cercanos a las tesis de Hazteoir y Vox como Reig Pla, Zornoza, Demetrio Fernández o José Manuel Lorca;  Obispos españoles entregan sus diócesis a los seminarios ultras de los 'kikos' ante la falta de curas  ;https://www.eldiario.es/sociedad/Obispos-espanoles-entregan-diocesis-seminarios_0_878062991.html;159;5;253;eldiario.es;248; actualidad ;87
